Timeline_Month,Survival_Probability
0,0.9089
1,0.9089
2,0.9089
3,0.9089
4,0.9089
5,0.9089
6,0.9089
7,0.9089
8,0.9089
9,0.9089
10,0.9089
11,0.9089
12,0.9089
13,0.9089
14,0.9088
15,0.9088
16,0.9087000000000001
17,0.9087000000000001
18,0.9087000000000001
19,0.9087000000000001
20,0.9086000000000001
21,0.9085000000000001
22,0.9084000000000001
23,0.9081
24,0.9074
25,0.9046
26,0.8995
27,0.8905
28,0.8792
29,0.8671
30,0.8574
31,0.8468000000000001
32,0.8383000000000002
33,0.8276000000000001
34,0.8193000000000001
35,0.8093000000000001
36,0.7992000000000001
37,0.7884000000000001
38,0.7768000000000002
39,0.7674000000000001
40,0.7553000000000001
41,0.7437000000000001
42,0.7333000000000002
43,0.7201000000000002
44,0.7094000000000001
45,0.6986000000000001
46,0.6878000000000001
47,0.6772
48,0.6657000000000001
49,0.6549
50,0.6459
51,0.6352000000000001
52,0.6254000000000001
53,0.6148000000000001
54,0.6029000000000001
55,0.5919000000000001
56,0.5814000000000001
57,0.5710000000000002
58,0.5617000000000002
59,0.5512000000000002
60,0.5387000000000003
61,0.5273000000000003
62,0.5165000000000003
63,0.5079000000000002
64,0.49890000000000023
65,0.4915000000000002
66,0.48360000000000025
67,0.47460000000000024
68,0.46510000000000024
69,0.45780000000000026
70,0.45020000000000027
71,0.44230000000000025
72,0.43530000000000024
73,0.42730000000000024
74,0.4201000000000002
75,0.41180000000000017
76,0.40500000000000014
77,0.39780000000000015
78,0.3914000000000002
79,0.3845000000000002
80,0.37800000000000017
81,0.3713000000000002
82,0.36600000000000016
83,0.3608000000000002
84,0.3552000000000002
85,0.34880000000000017
86,0.34290000000000015
87,0.33730000000000016
88,0.33090000000000014
89,0.3255000000000001
90,0.32020000000000015
91,0.31400000000000017
92,0.30810000000000015
93,0.30260000000000015
94,0.29750000000000015
95,0.29290000000000016
96,0.28780000000000017
97,0.28310000000000013
98,0.27880000000000016
99,0.27390000000000014
100,0.26950000000000013
101,0.2650000000000001
102,0.25930000000000014
103,0.2556000000000001
104,0.25130000000000013
105,0.24660000000000015
106,0.24390000000000014
107,0.23910000000000015
108,0.23480000000000015
109,0.23120000000000016
110,0.22680000000000017
111,0.22260000000000016
112,0.21930000000000016
113,0.21600000000000016
114,0.21220000000000017
115,0.20900000000000016
116,0.20510000000000014
117,0.20250000000000012
118,0.19780000000000014
119,0.19410000000000013
120,0.19410000000000013
